Sector,Nombre de la empresa,comarca,correo electrónico,teléfono,persona de contacto,cargo,página web,dinamizador
Agraria,Aceites Molisur,Guadalhorce,info@molisur.com,952 45 23 88,,,,
Transporte y Fabricación,Panadería El Molino,Guadalhorce,info@panaderiaelmolino.com,952 45 00 24,,,,
Agraria,Frutas y Verduras El Pollo,Guadalhorce,info@frutaselpollo.com,952 45 16 01,,,,
Construcción,Construcciones Metálicas Coín,Guadalhorce,info@cmcoin.com,952 11 25 50,,,,
Transporte y Fabricación,Automóviles Coín,Guadalhorce,ventas@automovilescoin.com,952 45 00 11,,,,
Administración y Comercio,Gestoría Sánchez,Guadalhorce,sanchez@gestoriasanchez.com,952 45 02 81,,,,
Construcción,Carpintería Metálica El Rodeo,Guadalhorce,elrodeo@metalicadelrodeo.com,952 45 00 50,,,,
Construcción,Fontanería Galiot,Guadalhorce,fontaneriagaliot@gmail.com,952 45 14 74,,,,
Energia y agua,Electricidad Coín,Guadalhorce,info@electricidadcoin.com,952 45 20 20,,,,
Administración y Comercio,Gráficas Coín,Guadalhorce,info@graficascoin.com,952 45 25 00,,,,
Administración y Comercio,Inmobiliaria Guadalhorce,Guadalhorce,info@inmobiliariaguadalhorce.com,952 45 31 51,,,,
Administración y Comercio,Limpiezas Valle del Guadalhorce,Guadalhorce,info@limpiezasguadalhorce.com,952 45 12 11,,,,
Construcción,Pinturas Coín,Guadalhorce,info@pinturascoin.com,952 45 32 32,,,,
Administración y Comercio,Seguros Reale Coín,Guadalhorce,coin@agencia.reale.es,952 45 24 53,,,,
Administración y Comercio,Supermercados El Jamón,Guadalhorce,info@supermercadosejamon.com,952 45 04 22,,,,
Transporte y Fabricación,Taller Mecánico El Cruce,Guadalhorce,tallereclruce@gmail.com,952 45 18 10,,,,
Construcción,Cristalería Coín,Guadalhorce,cristaleriacoin@gmail.com,952 45 11 11,,,,
Agraria,Agro-Servicios Coín,Guadalhorce,info@agroservicioscoin.com,952 45 05 50,,,,
Construcción,Reformas Integrales Coín,Guadalhorce,info@reformascoin.es,952 45 01 01,,,,
Administración y Comercio,Publicidad Coín,Guadalhorce,info@publicidadcoin.com,952 45 08 08,,,,
Administración y Comercio,Ferretería La Trocha,Guadalhorce,latrocha@ferreteria.com,952 45 12 12,,,,
Transporte y Fabricación,Suministros Industriales Coín,Guadalhorce,suministros@coin.com,952 45 03 03,,,,
Transporte y Fabricación,Pastelería La Fuensanta,Guadalhorce,lafuensanta@pasteleria.com,952 45 06 06,,,,
Transporte y Fabricación,Distribuciones Bebidas Coín,Guadalhorce,distcoin@bebidas.com,952 45 07 07,,,,
Informática,Informática Valle de Azahar,Guadalhorce,info@informaticavalley.es,952 45 09 09,,,,
Agraria,4G Fruguer,Guadalhorce,info@4gfruguer.com,952 49 01 01,,,,
Hostelería y Turismo,4Smile Animación Turística,Guadalhorce,info@4smile.es,952 49 02 02,,,,
Transporte y Fabricación,Transportes Jiménez,Guadalhorce,info@transportesjimenez.com,952 49 03 03,,,,
Energia y agua,Alhaurín Gas,Guadalhorce,info@alhauringas.com,952 49 04 04,,,,
Transporte y Fabricación,Hnos Rueda,Guadalhorce,hnosrueda@alhaurin.com,952 49 05 05,,,,
Administración y Comercio,Muebles Alhaurín,Guadalhorce,info@mueblesalhaurin.com,952 49 06 06,,,,
Agraria,Agroalhaurín,Guadalhorce,info@agroalhaurin.es,952 49 07 07,,,,
Agraria,Viveros Alhaurín,Guadalhorce,info@viverosalhaurin.com,952 49 08 08,,,,
Construcción,Construcciones El Fahala,Guadalhorce,info@elfahala.com,952 49 10 10,,,,
Agraria,Aceite de Alhaurín,Guadalhorce,info@aceitealhaurin.com,952 49 11 11,,,,
Transporte y Fabricación,Cárnicas Alhaurín,Guadalhorce,info@carnicasalhaurin.com,952 49 12 12,,,,
Transporte y Fabricación,Taller Alhaurín Motor,Guadalhorce,info@alhaurinmotor.com,952 49 13 13,,,,
Administración y Comercio,Inmobiliaria Alhaurín,Guadalhorce,info@inmoalhaurin.com,952 49 14 14,,,,
Transporte y Fabricación,Carpintería Madera El Grande,Guadalhorce,carpinteria@elgrande.es,952 49 15 15,,,,
Construcción,Reformas Alhaurín,Guadalhorce,info@reformas-alhaurin.com,952 49 16 16,,,,
Energia y agua,Electricidad El Fahala,Guadalhorce,electricidad@elfahala.com,952 49 17 17,,,,
Transporte y Fabricación,Panificadora El Grande,Guadalhorce,info@panificadoraelgrande.com,952 49 18 18,,,,
Construcción,Pinturas Alhaurín,Guadalhorce,info@pinturasalhaurin.com,952 49 19 19,,,,
Administración y Comercio,Ferretería El Puente,Guadalhorce,ferreteria@elpuente.com,952 49 20 20,,,,
Administración y Comercio,Limpiezas Alhaurín,Guadalhorce,info@limpiezasalhaurin.com,952 49 21 21,,,,
Administración y Comercio,Asesoría Alhaurín,Guadalhorce,info@asesoriaalhaurin.es,952 49 22 22,,,,
Informática,Informática Alhaurín,Guadalhorce,info@informatica-alhaurin.com,952 49 23 23,,,,
Administración y Comercio,Rótulos Alhaurín,Guadalhorce,info@rotulosalhaurin.com,952 49 24 24,,,,
Administración y Comercio,Seguros Mapfre Alhaurín,Guadalhorce,alhaurin@mapfre.com,952 49 25 25,,,,
Sanidad,Clínica Dental Alhaurín,Guadalhorce,info@clinicadentalalhaurin.com,952 49 26 26,,,,
Deportes,Gimnasio El Fahala,Guadalhorce,info@gymelfahala.com,952 49 27 27,,,,
Administración y Comercio,Autoescuela Alhaurín,Guadalhorce,info@autoescuelaalhaurin.com,952 49 28 28,,,,
Administración y Comercio,Papelería El Grande,Guadalhorce,info@papeleriaelgrande.com,952 49 29 29,,,,
Textiles,Modas Alhaurín,Guadalhorce,info@modasalhaurin.com,952 49 30 30,,,,
Textiles,Zapatería El Grande,Guadalhorce,info@zapateriaelgrande.com,952 49 31 31,,,,
Sanidad,Óptica Alhaurín,Guadalhorce,info@opticalhaurin.com,952 49 32 32,,,,
Sanidad,Farmacia Central Alhaurín,Guadalhorce,farmacia@alhaurincentral.com,952 49 33 33,,,,
Hostelería y Turismo,Restauración Alhaurín,Guadalhorce,info@restauracion-alhaurin.com,952 49 34 34,,,,
Hostelería y Turismo,Eventos Alhaurín,Guadalhorce,info@eventosalhaurin.com,952 49 35 35,,,,
Construcción,Fontanería El Fahala,Guadalhorce,fontaneria@elfahala.com,952 49 36 36,,,,
Energia y agua,Suministros Eléctricos Alhaurín,Guadalhorce,suministros@alhaurin.com,952 49 37 37,,,,
Construcción,Cristalería El Grande,Guadalhorce,info@cristaleriaelgrande.com,952 49 38 38,,,,
Agraria,Jardinería Alhaurín,Guadalhorce,info@jardineriaalhaurin.com,952 49 39 39,,,,
Construcción,Excavaciones Alhaurín,Guadalhorce,info@excavacionesalhaurin.com,952 49 40 40,,,,
Transporte y Fabricación,Transportes Especiales El Fahala,Guadalhorce,transportes@elfahala.com,952 49 41 41,,,,
Transporte y Fabricación,Distribuciones Alimentarias Alhaurín,Guadalhorce,dist@alhaurin.com,952 49 42 42,,,,
Administración y Comercio,Alquileres Alhaurín,Guadalhorce,info@alquileresalhaurin.com,952 49 43 43,,,,
Asociacion,CoínEMPRENDE,Guadalhorce,info@coinemprende.es,952 45 33 06,,,,
Asociacion,Asociación de Jóvenes Empresarios y Profesionales de Coín,Guadalhorce,,952 45 33 06,,,,
Asociacion,Un Sí Por La Vida,Guadalhorce,info@unsiporlavida.es,657 27 42 57,,,,
Asociacion,"Asociación Juvenil «Eo,Eo»",Guadalhorce,,952 71 25 71,,,,
Asociacion,Prodicco,Guadalhorce,centro@prodicco.org,952 45 26 04,,,,
Asociacion,Fundación García Agüera,Guadalhorce,fundacion@garciaaguera.org,952 45 00 31,,,,
Asociacion,Asociación Cultural de Mujeres Al-Andaluz,Guadalhorce,,952 49 02 39,,,,
Asociacion,Asociación de Fibromialgia de Coín,Guadalhorce,,952 21 79 86,,,,
Asociacion,Asociación Decolores,Guadalhorce,a.c.alifara@gmail.com,696 27 59 71,,,,
Asociacion,Asociación Cultural Alifara,Guadalhorce,afibrocoin@gmail.com,952 49 00 00,,,,
Asociacion,Asociación de Vecinos de Pinos de Alhaurín,Guadalhorce,asociaciondecolores@hotmail.com,952 49 10 00,,,,
Asociacion,Asociación Coral San Juan Bautista,Guadalhorce,coralsjbcoin@gmail.com,952 45 33 32,,,,
Asociacion,Asociación Amigos Especiales,Guadalhorce,amigosespeciales@gmail.com,646 82 34 11,,,,
Asociacion,Asociación de Mujeres de Alhaurín el Grande,Guadalhorce,asocmujeresalhaurin@gmail.com,952 49 02 39,,,,
Energia y agua,Servicio Municipal de Agua de Coín,Guadalhorce,aguas@coin.es,952 45 30 20,,,,
Servicios socioculturales y a la comunidad,ACEB - Centro Comercial Abierto de Benalmádena (CCA),Costa Del Sol,info@acebbenalmadena.es,952 44 04 05 - 644 418 026,Susana Márquez,Gerente,,David
Servicios socioculturales y a la comunidad,Asociación de centros de estudios privados de Málaga,costa del sol,,952229100,,,,
Servicios socioculturales y a la comunidad,Asociación de comerciantes barrio de la victoria,costa del sol,admonfincas.tore@gmail.com,952253064,,,,
Servicios socioculturales y a la comunidad,Asociación de comerciantes de electrodomesticos,costa del sol,,952390141,,,,
Servicios socioculturales y a la comunidad,Asociación de comerciantes de Málaga Nuevo centro,costa del sol,malaganuevocentro@gmail.com,952611762,,,,
Servicios socioculturales y a la comunidad,Asociación de comerciantes del mercado municipal de el palo,costa del sol,,952293401,,,,
Servicios socioculturales y a la comunidad,Asociación de comerciantes del mercado municipal de salamanca,costa del sol,atovar70@hotmail.com,952261945,,,,
Servicios socioculturales y a la comunidad,Asociación de comerciantes del mercado municipal del Carmen en Málaga,costa del sol,encarni_glez@hotmail.com,952219747,,,,
Servicios socioculturales y a la comunidad,ASOCIACION DE COMERCIANTES Y EMPRESARIOS CAMINO DE LA ROSA,costa del sol,asociacion.acea@gmail.com,952311400,,,,
Servicios socioculturales y a la comunidad,Asociacion de comerciantes y empresarios de Benalmadena,costa del sol,,952446702,,,,
Servicios socioculturales y a la comunidad,ASOCIACION DE COMERCIANTES Y HOSTELEROS SOHO-ENSANCHE,costa del sol,,607831515,,,,
Servicios socioculturales y a la comunidad,"ASOCIACION DE DISTRIBUIDORES DE ALIMENTACION, BEBIDAS Y SUMINI DE HOSTELERIA",costa del sol,info@adisabes.com,952601955,,,,
Servicios socioculturales y a la comunidad,Asociación de empresario,costa del sol,info@malaga.eu,952060623,,,,
Servicios socioculturales y a la comunidad,Asociación de empresarios de Vélez Málaga,axarquia,empresariosvelez@gmail.com,952502129,,,,
Servicios socioculturales y a la comunidad,Asociación De Industriales Feriantes de Málaga y Provincia,costa del sol,,952328100,,,,
Servicios socioculturales y a la comunidad,Asociación de marketing,costa del sol,Lo reenvía la CEM,952281310,,,,
Servicios socioculturales y a la comunidad,Asociación Provincial de Constructores y Promotores,costa del sol,acp@acpmalaga.com,952225184,,,,
Servicios socioculturales y a la comunidad,Asociación Teatinos,costa del sol,ahorateatinos@gmail.com,952103449,,,,
Servicios socioculturales y a la comunidad,Asociación empresarios Antequera,Antequera,,,,,,
Servicios agricolas,Agrotrapiche,axarquia,,952505699,,,,
Servicios agricolas,Landaluz,costa del sol,exporta@landaluz.es,954234849,,,,
medioambiente,Tecnoalgae,costa del sol,negea@tecnoalgae.com,653947175,,,,
Agricola,Maslana,costa del sol,comercial@maslana.es,619 27 56 80,,,,
Agricola,Avomix,axarquia,jcbarquero@barquerohermanos.com,952505941,,,,
Agricola,Frutas Montosa,axarquia,informacion@frutasmontosa.com,952513533,,,,
Agricola,Managú Frutas Tropicales,axarquia,alejandro@managu.es,952500030,,,,
Agricola,AGRO-OLIVARERA RIOGORDO S.A.,axarquia,administración@olivarerariogordo.es,952732233,,,,
Agricola,AGROW ANALITYCS,malaga,antonella@agrowanalytics.com,611560443,,,,
Agricola,Almendrera del Sur S.C.A.,guadalhorce,comercial@almensur.com,952420020,,,,
Agricola,Asociación Guadalhorce Ecológico,guadalhorce,guadlhorceecologico@gmail.com,646797737,,,,
Agricola,Jardinhes villalba,Costa del Sol,info@jardinesvillaba.com,952831513,,,,
Sanidad,HLA,Málaga,diego.gonzalez@grupohla.com,608536276,,,,
Sanidad,Quirón,Málaga,info.mlg@quironsalud.es,951940000,,,,
Sanidad,Vithas,Málaga,infomalaga@vithas.es,952121100,,,,
Sanidad,Hospitales HM,Málaga,jburgosperraut@hmhospitales.com,,,,,
Sanidad,Hospital ceram,Málaga,info@hospitalceram.com,951 899 350,,,,
Sanidad,Centro Médico MAPFRE Salud,Málaga,,951305500,,,,
Sanidad,Centro Médico ADESLAS,Málaga,,,,,,
Sanidad,Unidad de Endoscopia Centro Gutenberg,Costa Del Sol,ure@urecentrogutemberg.com,952210317,,,,
Sanidad,Colegío oficial de farmacéuticos de Málaga,Málaga,,,,,,
Sanidad,Asoan Asociación de ortopedias,Málaga,,,,,,
Sanidad,SSG,Málaga,lola@atriaservicios.com,954933277,,,,
Sanidad,MEDICAL CENTER 24H | LÄÄKÄRIKESKUS SISMA,Málaga,info@servicios-sisma.es,620293829,,,,
Sanidad,CLINICA ALEN MIJAS,Costa Del Sol,atencionalpaciente@policlinicaalen.com,952467179,,,,
Sanidad,CLÍNICA SAN FRANCISCO,Costa Del Sol,info@clinicasanfrancisco.eu,952583000,,,,
Sanidad,CLÍNICA MÉDICA FUENGIROLA,Costa Del Sol,info@clinicamedicafuengirola.com,674808080,,,,
Sanidad,EL CAMPANARIO MEDICAL CENTER,Málaga,info@clinicaelcampanario.com,952933377,,,,
Sanidad,CLÍNICA SANDALF,Málaga,info@clinicasandalf.com,952577766,,,,
Sanidad,CLÍNICA BIOMEDIC,Málaga,recepcion@biomedicenter.net,952368146,,,,
Sanidad,DENTAL PAREJA CLINIC,Málaga,dentalpareja@gmail.com,"679 58 06 96
952 61 17 99",,,,
Sanidad,Your Clinic Dental,Málaga,info@yourclinic.es,689720383,,,,
Sanidad,Clínica Dental Avilés y Román,Málaga,clinica@avilesyroman.com,952220220,,,,
Sanidad,Clínica Naturadent,Axarquía,carmen@naturadent.es,952265185,,,,
Sanidad,Pérez Saavedra Clínica Dental,Costa Del Sol,info@clinicadentalperezsaavedra.es,951 353 035,,,,
Sanidad,Gross dentistas,Málaga,info@grossdentistas.com,952220775,,,,
Sanidad,CD León y Soler,Málaga,info@clinicadentalleonysoler.es,951818818,,,,
Comercio y marketing,Picking,Málaga,rocío.lopez@pickingmalaga.es,638914191,,,,
Comercio y marketing,Anayco,Antequera,clientes.anayco@alsglobal.com,952352541,,,,
Industrias alimentarias,Postres Montero,Málaga,info@monteroalimentacion.es,902118305,,,,
Industrias alimentarias,Cervezas Victoria,Málaga,esallr@cervezasvictoria.es,932909200,,,,
Industrias alimentarias,Mondat,Málaga,,,,,,
Sanidad,clínica fertia,Ronda,recepcion@clinicafertia.com,952592323,,,,
Sanidad,Clinicas Muelle Heredia,Málaga,info@clinicasmuelleheredia.com,,,,,
Sanidad,Clinica Cuidarte,Málaga,info@clinicacuidarte.com,952022288,,,,
Sanidad,Clinica del Valle,Costa Del Sol,info@delvalleclinica.es,952026088,,,,
Sanidad,Vitaldent,"Guadalhorce, Málaga",,,,,,
Sanidad,IMED German Clinic,Málaga,info@german=clinic.com,951413103,,,,
Sanidad,Clinica Dra. Matas,Costa Del Sol,marbella@doctoramatas.com,658524051,,,,
Sanidad,Clinica Baviera,Málaga,gmalaga@clinicabaviera.com,952070718,,,,
Sanidad,Clínicas Rincón,Axarquía,,952040901,,,,
Sanidad,Centro Médico Picasso,Málaga,info@picassocentromedico.com,952397208,,,,
Sanidad,Asociación Audioproresistas,Málaga,ana@audioprotesistas.org,92 408 20 96,,,,
Sanidad,Clinica Axis,Málaga,administracion@clinicaaxis.com,952219573,,,,
Sanidad,Colegio de Médicos de Málaga,Málaga,info@commalaga.com,950 019 400,,,,
Sanidad,colegio de dentistas malaga,Málaga,info@coema.org,951 06 00 24,,,,
Sanidad,Colegio de farmaceúticos,Málaga,,951 21 51 46,,,,
Sanidad,Clinica Xalus,Costa Del Sol,info@xalus.es,952174550,,,,
Sanidad,Clinica Alborán,Costa Del Sol,info@alborancentromedico.com,951463042,,,,
Seguridad y medio ambiente,FUMICOSOL,Málaga,fumicosol@gmail.com,744632619,,,,
Seguridad y medio ambiente,Bioimsa,Málaga,info@bioimsa.es,951770737,,,,
Seguridad y medio ambiente,Framisan,Costa Del Sol,info@framisan.es,951074748,,,,
Seguridad y medio ambiente,Desinsectaciones Costamalaga,Costa Del Sol,costa.malaga@hotmail.com,952262448,,,,
Seguridad y medio ambiente,Okplagas,Costa Del Sol,info@okplagas.es,951770142,,,,
Seguridad y medio ambiente,Rentokil,Costa Del Sol,teresa.tortonda@rentokil-initial.com,900423100,,,,
Seguridad y medio ambiente,Plagiser,Costa Del Sol,plagiser@plagiser.com,952339447,,,,
Seguridad y medio ambiente,Gimasur,Costa Del Sol,info@gimasur.es,622951855,,,,
Seguridad y medio ambiente,Hama,Costa Del Sol,info@hamasl.com,667629327,,,,
Seguridad y medio ambiente,Rapiplaga,Costa Del Sol,info@rapiplaga.com,951250052,,,,
Sanidad,Centro Médico de Conductores La Térmica Málaga,Costa Del Sol,cmctermica@gmail.com,950 15 33 05,,,,
Sanidad,CMC de conductores,Costa Del Sol,,951467304,,,,
Sanidad,CMC de conductores Parque Ayala,Costa Del Sol,cmcdelarosa@gmail.com,681335745,,,,
Sanidad,CMC El Corte Inglés,Costa Del Sol,clientes@elcorteingles.es,952284316,,,,
Sanidad,CMC de la Rosa,Costa Del Sol,cmcdelarosa@gmail.com,681335745,,,,
Sanidad,CMC Los Tilos,Costa Del Sol,info@centromedicolostilos.es,952354180,,,,
Sanidad,CMC Alameda,Costa Del Sol,centromedicoalameda1@hotmail.com,952324628,,,,
Sanidad,Malagueña de Reconocimientos,Costa Del Sol,,629241594,,,,
Sanidad,CMC Sur,Costa Del Sol,centro_medicosur@hotmail.com,952352019,,,,
Sanidad,CM El Palo,Costa Del Sol,centromedicoelpalo@gmail.com,952203232,,,,
Sanidad,CMC Eugenio Gross,Costa Del Sol,pacientes@clinicacrooke.com,952092641,,,,
Sanidad,CRM Muelle Heredia,Costa Del Sol,info@clinicasmuelleheredia.com,952212144,,,,
Sanidad,Del Valle Clinica,Costa Del Sol,info@delvalleclinica.es,952026088,,,,
Seguridad y medio ambiente,Prevetec,Costa Del Sol,info@prevetec.com,952254448,,,,
Seguridad y medio ambiente,masprevencion,Costa Del Sol,info@spmas.es,976302253,,,,
Seguridad y medio ambiente,ANP Setvicio de prevención,Costa Del Sol,info@grupoanp.es,902900441,,,,
Seguridad y medio ambiente,MPE Prevención Riesgos Laborales,Costa Del Sol,malaga@grupompe.es,951 323 804,,,,
Seguridad y medio ambiente,Geseme,Costa Del Sol,dpo@geseme.com,950 906 093,,,,
Seguridad y medio ambiente,Iluro Cursos y Prevención Riegos Laborales,Costa Del Sol,cursosprl@mmcprevencion.com,952640623,,,,
Seguridad y medio ambiente,MMC Prevención y Formación,Costa Del Sol,,606870368,,,,
Seguridad y medio ambiente,PRV Prevención,Costa Del Sol,Jesus j.garcia@prvprevencion.com/ e.cuberos@grupodaboconsulting.com,951707021,,,,
Seguridad y medio ambiente,Antea Prevención de Riesgos Laborales y Vigilancia,Costa Del Sol,antea@anteaprevencion.com,954181445,,,,
Sanidad,Clinica dental boca a boca,Costa Del Sol,info@clinicadentalbocaboca.com,951178110,,,,
Sanidad,Hospital HC Marbella,Costa Del Sol,rrhh@hcmarbella.com,952908628,,,,
Sanidad,Hospiten Estepona,Costa Del Sol,estepona@hospiten.com,952700600,,,,
Sanidad,Centro de medicina natural y antienvejecimiento,Costa Del Sol,info@medicinabiologica.es,952805368,,,,
Sanidad,Clínica Martí Torres,Costa Del Sol,info@clinicamartitorres.com,,,,,
Sanidad,Acosol,Costa Del Sol,,,,,,
Sanidad,AMS Centro médico del ejercicio,Costa Del Sol,info@ams-alavi.com,,,,,
Sanidad,clinica mario gallegos,Costa Del Sol,,,,,,
Seguridad y medio ambiente,Grupo control,Costa Del Sol,comunicacion@grupocontrol.com,900920920,,,,
Servicios socioculturales y a la comunidad,Grupo Eulen,Costa Del Sol,info@eulen.com,952364616,,,,
Industrias alimentarias,Ceregumil,Costa Del Sol,info@ceregumil.com,951 338 500,,,,
Seguridad y medio ambiente,SPH Prevención,Costa Del Sol,malaga@sphprevencion.com,951 056 828,,,,
Seguridad y medio ambiente,Prevesalud,Costa Del Sol,prevesalud@prevesalud.net,950 70 20 35,,,,
Sanidad,Centro Médico Sanitas,Costa Del Sol,infommalaga@sanitas.es,,,,,
Sanidad,Clínica Eva,Málaga,clinicaeva.malaga@gmail.com,,,,,
Imagen personal,Laserum,Costa Del Sol,diana.marcela@laserum.es,,,,,
Sanidad,IVI,Costa Del Sol,maribel.plaja@ivirma.com,,,,,
Administración y gestión,Mapfre,Málaga,mcarope@mapfre.com,,,,,
Sanidad,Farmacia Rico Nestares,Málaga,farmaorto.clinico@gmail.com,,,,,
Sanidad,Próxima farmacias,Málaga,marias@proximafarmacias.es,670346694,,,,
Sanidad,Bio9000,Costa Del Sol,info@bio9000.com,,,,,
Sanidad,AMPLIFON: GAES,Málaga,info@gaes.es,,,,,
Seguridad y medio ambiente,PROAMB,Málaga,gerencia@proamb.es,685105563,,,,
Servicios socioculturales y a la comunidad,Arqueoeduca,Málaga,info@arqueoeduca.es,656830830,,,,
Actividades físicas y deportivas,Arkea formación Ocio y aventura,Málaga,comercial@grupoarkea.com,658447114,,,,
Informática y comunicaciones,Trackroot,Málaga,info@desenda.es,667835051,,,,
Energía y agua,Emasa,Costa Del Sol,comunicacion@emasa.es,,,,,
Energía y agua,Axaragua,Málaga,admin@axaragua.com,,,,,
Seguridad y medio ambiente,Parque de Bomberos de Málaga,Málaga,rcbentrada@malaga.eu,,,,,
Seguridad y medio ambiente,Parque de Bomberos de Mijas,Costa Del Sol,bomberos@mijas.es,,,,,
Seguridad y medio ambiente,Consorcio provincial de Bomberos de Málaga,Costa Del Sol,mmarmolejo@cpbmalaga.es,,,,,
Energía y agua,Agumed,Málaga,mcalle@agumed.es,,,,,
Energía y agua,Aguas del Torcal,Málaga,adt_administracion@aguasdeltorcal.es,,,,,
